coef,coef_p,driver,neighbour
-0.266996359200094,0.0070410848329037,AKT1,FANCD2
-0.188037219506121,0.0361868020034287,AKT1,FGF21
0.228406437265548,0.0015303281340102,AKT1,GMPPA
-0.126014183280696,0.0168436902183953,AKT1,GNAI3
-0.341110579972042,0.0296018103514979,AKT1,HCLS1
0.166969873790704,0.0089644922392309,AKT1,HDAC6
-0.334572121541027,0.0173438459959202,AKT1,HJURP
-0.354164373290042,0.0370844383915821,AKT1,HSPB2
0.242312216936792,0.0006930819168375,AKT1,IBTK
-0.212088131067576,0.0107864472181556,AKT1,IRAK1
-0.332915047956719,0.0395462463382234,AKT1,KRT10
-0.237027927560585,0.000958653032125,AKT1,MAP3K3
0.53847862270424,0.020662049067657,AKT1,MAPT
-0.182656121532023,0.0196306227259059,AKT1,MASTL
0.483730445263549,0.0090795149137304,AKT1,MST1R
-0.586403530863475,0.0017281890278547,AKT1,MT1X
-0.50002429937961,0.0167490712321023,AKT1,NCF1C
0.463620712436243,0.0056222127394205,AKT1,NOXA1
-0.170096987265153,0.0220931508034779,AKT1,OSBPL11
0.383617904266313,7.84591751781163e-05,AKT1,PDCD4
0.9133946055614,0.0002613448675235,AKT1,PEBP4
-0.385243712742206,0.0056158965233935,AKT1,PIK3CD
-0.657461666297457,0.0168020113170831,AKT1,PLP1
0.155615391708661,0.0217766878241667,AKT1,PPP2CB
-0.53398954539007,0.0228887744459651,AKT1,PRPH
0.216214023922136,0.0403413702244536,AKT1,PTPN3
0.114707629906745,0.030826386550827,AKT1,PYGO2
0.12340233006717,0.0280113970650613,AKT1,RABIF
-0.240668067575956,0.0019528548738616,AKT1,RALBP1
0.237006106837506,0.0088621652899552,AKT1,RASA1
-0.390244224892625,0.0418871316251988,AKT1,RASL10B
-0.199447717125389,0.0124291891530024,AKT1,RCN2
-0.306337342959397,0.0244630670179524,AKT1,RELL2
-0.436300802748158,0.001257077865063,AKT1,RHEBL1
-0.21142053258203,0.0003360522420993,AKT1,RNF8
-0.118774146267525,0.0230868795332634,AKT1,RXRB
0.112213497176419,0.0468830632613799,AKT1,SETDB1
-0.434733152023864,0.0013271084662245,AKT1,SH2B2
0.63146908907584,0.0002796816625782,AKT1,SHC2
-0.464827040377983,0.0007358508166852,AKT1,SIRPA
0.110498011707888,0.0335633086854897,AKT1,SMARCC2
