driver,neighbour,rho,rho_pval
ACTB,LIMS3,-0.5535714285714285,0.0322871037701236
ACTB,LPP,-0.5214285714285714,0.046219234478573
ACTB,MAP1A,-0.575,0.0249362279425825
ACTB,MAP3K14,0.5178571428571428,0.0480040773665583
ACTB,MAP9,-0.5785714285714285,0.0238466587629966
ACTB,MARCKSL1,-0.5142857142857142,0.0498392334714206
ACTB,MBTD1,-0.5214285714285714,0.046219234478573
ACTB,MEAF6,-0.575,0.0249362279425825
ACTB,METTL14,-0.6249999999999999,0.0127274535112336
ACTB,MLLT3,-0.5392857142857141,0.0380216562635579
ACTB,MYL9,-0.6071428571428571,0.016381306768307
ACTB,MYO5C,-0.7035714285714285,0.0034243370890839
ACTB,MYOC,-0.6214285714285712,0.0134020067121817
ACTB,NDUFV1,0.5357142857142856,0.0395669722295494
ACTB,NEDD8,0.6678571428571428,0.0065099566947154
ACTB,NEK4,-0.6178571428571428,0.0141039284064894
ACTB,NFIC,-0.6071428571428571,0.016381306768307
ACTB,NLRP12,-0.5285714285714286,0.0427972893094503
ACTB,NOS3,-0.6607142857142856,0.0073305698308917
ACTB,NR2C2,-0.5714285714285713,0.0260631933763628
ACTB,NUS1,-0.5499999999999999,0.033655357815007
ACTB,PDLIM5,-0.5178571428571428,0.0480040773665583
ACTB,PFN1,0.5464285714285714,0.0350666602167098
ACTB,PHACTR2,-0.6499999999999999,0.0087115836219123
ACTB,PHF20,-0.5785714285714285,0.0238466587629966
ACTB,PODXL,-0.6178571428571428,0.0141039284064894
ACTB,PPIA,0.7642857142857141,0.0009073101116849
ACTB,PPP1CB,-0.5535714285714285,0.0322871037701236
ACTB,PPP1R9B,0.682142857142857,0.0050863264689772
ACTB,PRSS23,-0.6607142857142856,0.0073305698308917
ACTB,PSMB10,0.7178571428571427,0.0025811653082188
ACTB,PSMB3,0.6428571428571428,0.0097399446955952
ACTB,RAB6A,-0.5857142857142856,0.0217765176190427
ACTB,RNF125,-0.5857142857142856,0.0217765176190427
ACTB,RPA3,0.5142857142857142,0.0498392334714206
ACTB,SEC23IP,-0.5428571428571428,0.0365218225548373
ACTB,SH3BGRL2,-0.532142857142857,0.0411585803869344
ACTB,SMAD9,-0.5857142857142856,0.0217765176190427
ACTB,SMARCD1,0.5214285714285714,0.046219234478573
ACTB,SNAI1,-0.557142857142857,0.030961086755812
ACTB,SRGAP2,0.6107142857142855,0.0155928314211756
ACTB,SSH2,0.5142857142857142,0.0498392334714206
ACTB,STAG2,-0.6357142857142856,0.0108607461687898
ACTB,TCHP,0.6499999999999999,0.0087115836219123
ACTB,TJP1,-0.6035714285714285,0.0172001380687953
ACTB,TNIP2,0.6,0.0180500879414999
ACTB,TRAF3IP1,-0.6357142857142856,0.0108607461687898
ACTB,TRIM58,-0.6249999999999999,0.0127274535112336
ACTB,TUBG1,0.6,0.0180500879414999
ACTB,TWF2,0.657142857142857,0.0077702513586684
ACTB,UBE2I,0.5285714285714286,0.0427972893094503
ACTB,UBE3A,-0.6535714285714285,0.0082303714636389
ACTB,YBX1,0.5285714285714286,0.0427972893094503
ACTB,ZZZ3,-0.6464285714285712,0.0092145506899799
ACTG1,ASXL1,0.6293706293706295,0.02831967129576
ACTG1,BAIAP2,-0.7552447552447553,0.0045084354842942
ACTG1,BCL7A,0.6433566433566434,0.0240031912007136
ACTG1,ESR2,0.5944055944055945,0.0415214944103185
ACTG1,GIT2,0.7692307692307694,0.0034464502618274
ACTG1,HSPA5,-0.6923076923076924,0.0125930304960941
ACTG1,ITGA10,0.6573426573426573,0.020185498509854
ACTG1,LRRFIP2,-0.7062937062937064,0.0102451939411278
ACTG1,MAP1LC3B,0.6013986013986015,0.0385884529220194
ACTG1,MAPK6,-0.5804195804195805,0.0478559768420605
ACTG1,MTFR1,-0.6853146853146854,0.0139059688143627
ACTG1,MYH14,-0.5804195804195805,0.0478559768420605
ACTG1,MYO1B,-0.6993006993006995,0.0113741986426909
ACTG1,MYO9B,0.6013986013986015,0.0385884529220194
ACTG1,RHOBTB2,0.8251748251748254,0.0009513628555555
ACTG1,SH3BGRL,0.7132867132867133,0.0092017797776347
ACTG1,SMARCC2,0.7062937062937064,0.0102451939411278
ACTG1,SRGAP2,0.6573426573426573,0.020185498509854
ACTG1,TFG,-0.6363636363636365,0.0260968910527031
ACTG1,TUBGCP6,0.6713286713286714,0.0168314561868933
ACTG1,VIM,0.5944055944055945,0.0415214944103185
ACTL6B,ACTG1,0.7412587412587414,0.0058011504744782
ACTL6B,ACTL6A,0.5944055944055945,0.0415214944103185
ACTL6B,BRD9,0.6223776223776225,0.0306758950616401
ACTL6B,CBFB,0.6503496503496504,0.0220341909323652
ACTL6B,DDX28,0.6083916083916086,0.0358059970520292
ACTL6B,DPF1,0.5944055944055945,0.0415214944103185
